method,standard deviation,mean,median,max,min,filtered count,unique filtered count
RDM,1845029444.5230055,-75692879.12410192,-61441.12080870976,-909.1234796978647,-55051181774.49222,0,0
GA,4984060.222975303,-310553.51862115297,-1006.9421320395188,-51.97919178952842,-130381480.14693253,246,150
RGDG T1,289946.19717317354,-129630.96554878923,-35353.13626673108,-6781.9526101717975,-1774480.0268184189,0,0
RGDG T2,1090.1252820452917,-3395.4272203278097,-3352.5616912643186,-1437.3609822556275,-6410.470046881789,0,0
RGDG T3,219.75241640967783,-783.2962208028252,-777.7843881462205,-329.18262117498443,-1308.274030067723,0,0
RGDG T4,62.415777394536136,-175.09046600379958,-178.3290191809017,-53.59364592849577,-316.0381008019099,611,205
